U,I
92,0.41818181818181815
103,0.4681818181818182
102,0.4636363636363636
103,0.4681818181818182
106,0.4818181818181818
106,0.4818181818181818
107,0.4863636363636364
107,0.4863636363636364
107,0.4863636363636364
109,0.4954545454545455
111,0.5045454545454545
113,0.5136363636363637
113,0.5136363636363637
114,0.5181818181818182
109,0.4954545454545455
116,0.5272727272727272
117,0.5318181818181819
108,0.4909090909090909
124,0.5636363636363636
133,0.6045454545454545
122,0.5545454545454546
121,0.55
121,0.55
123,0.5590909090909091
125,0.5681818181818182
125,0.5681818181818182
125,0.5681818181818182
127,0.5772727272727273
129,0.5863636363636363
131,0.5954545454545455
131,0.5954545454545455
126,0.5727272727272728
144,0.6545454545454545
128,0.5818181818181818
135,0.6136363636363636
113,0.5136363636363637
136,0.6181818181818182
137,0.6227272727272727
146,0.6636363636363637
140,0.6363636363636364
136,0.6181818181818182
141,0.6409090909090909
144,0.6545454545454545
143,0.65
145,0.6590909090909091
145,0.6590909090909091
145,0.6590909090909091
147,0.6681818181818182
146,0.6636363636363637
151,0.6863636363636364
150,0.6818181818181818
151,0.6863636363636364
152,0.6909090909090909
153,0.6954545454545454
153,0.6954545454545454
157,0.7136363636363636
154,0.7
155,0.7045454545454546
160,0.7272727272727273
159,0.7227272727272728
151,0.6863636363636364
161,0.7318181818181818
161,0.7318181818181818
164,0.7454545454545455
162,0.7363636363636363
149,0.6772727272727272
168,0.7636363636363637
166,0.7545454545454545
170,0.7727272727272727
169,0.7681818181818182
170,0.7727272727272727
157,0.7136363636363636
172,0.7818181818181819
167,0.759090909090909
172,0.7818181818181819
174,0.7909090909090909
177,0.8045454545454546
178,0.8090909090909091
178,0.8090909090909091
157,0.7136363636363636
180,0.8181818181818182
183,0.8318181818181818
174,0.7909090909090909
182,0.8272727272727273
185,0.8409090909090909
186,0.8454545454545455
186,0.8454545454545455
188,0.8545454545454545
187,0.85
190,0.8636363636363636
191,0.8681818181818182
192,0.8727272727272727
194,0.8818181818181818
193,0.8772727272727273
194,0.8818181818181818
189,0.8590909090909091
196,0.8909090909090909
193,0.8772727272727273
200,0.9090909090909091
200,0.9090909090909091
201,0.9136363636363637
201,0.9136363636363637
202,0.9181818181818182
190,0.8636363636363636
205,0.9318181818181818
205,0.9318181818181818
202,0.9181818181818182
207,0.9409090909090909
208,0.9454545454545454
208,0.9454545454545454
210,0.9545454545454546
213,0.9681818181818181
213,0.9681818181818181
211,0.9590909090909091
216,0.9818181818181818
215,0.9772727272727273
216,0.9818181818181818
217,0.9863636363636363
215,0.9772727272727273
219,0.9954545454545455
220,1.0
220,1.0
213,0.9681818181818181
223,1.0136363636363637
224,1.018181818181818
225,1.0227272727272727
226,1.0272727272727273
228,1.0363636363636364
227,1.0318181818181817
231,1.05
243,1.1045454545454545
232,1.0545454545454545
232,1.0545454545454545
234,1.0636363636363637
234,1.0636363636363637
235,1.0681818181818181
238,1.0818181818181818
236,1.0727272727272728
236,1.0727272727272728
240,1.0909090909090908
240,1.0909090909090908
242,1.1
240,1.0909090909090908
242,1.1
243,1.1045454545454545
245,1.1136363636363635
247,1.1227272727272728
235,1.0681818181818181
246,1.1181818181818182
248,1.1272727272727272
251,1.1409090909090909
251,1.1409090909090909
250,1.1363636363636365
253,1.15
254,1.1545454545454545
253,1.15
255,1.1590909090909092
255,1.1590909090909092
258,1.1727272727272726
259,1.1772727272727272
260,1.1818181818181819
252,1.1454545454545455
261,1.1863636363636363
263,1.1954545454545455
262,1.190909090909091
265,1.2045454545454546
266,1.209090909090909
267,1.2136363636363636
261,1.1863636363636363
269,1.2227272727272727
271,1.231818181818182
272,1.2363636363636363
264,1.2
273,1.240909090909091
273,1.240909090909091
275,1.25
269,1.2227272727272727
275,1.25
279,1.268181818181818
279,1.268181818181818
280,1.2727272727272727
280,1.2727272727272727
